date,rank,album,artist
2025-11-08,198,Different Night Same Rodeo,Bailey Zimmerman
2025-11-08,199,"Greatest Hits, Volume One: The Singles",The Goo Goo Dolls
2025-11-08,200,Already Legend.,Yfn Lucci
2025-11-15,1,The Life Of A Showgirl,Taylor Swift
2025-11-15,2,KPop Demon Hunters,Soundtrack
2025-11-15,3,I'm The Problem,Morgan Wallen
2025-11-15,4,Everybody Scream,Florence + the Machine
2025-11-15,5,CHROMAKOPIA,"Tyler, the Creator"
2025-11-15,6,Man's Best Friend,Sabrina Carpenter
2025-11-15,7,The Art Of Loving,Olivia Dean
2025-11-15,8,SOS,SZA
2025-11-15,9,One Thing At A Time,Morgan Wallen
2025-11-15,10,Am I The Drama?,Cardi B
2025-11-15,11,"You'll Be Alright, Kid",Alex Warren
2025-11-15,12,Debi Tirar Mas Fotos,Bad Bunny
2025-11-15,13,Stick Season,Noah Kahan
2025-11-15,14,Short n' Sweet,Sabrina Carpenter
2025-11-15,15,Dangerous: The Double Album,Morgan Wallen
2025-11-15,16,Thriller,Michael Jackson
2025-11-15,17,Hit Me Hard And Soft,Billie Eilish
2025-11-15,18,So Close To What,Tate McRae
2025-11-15,19,The Diamond Collection,Post Malone
2025-11-15,20,30 Number One Hits,Jason Aldean
2025-11-15,21,Rumours,Fleetwood Mac
2025-11-15,22,Take Care,Drake
2025-11-15,23,Deadbeat,Tame Impala
2025-11-15,24,MASA,YoungBoy Never Broke Again
2025-11-15,25,"Dave's Picks, Vol. 56: Rainbow Theatre, London, England, 3/20/81 & 3/21/81",Grateful Dead
2025-11-15,26,+-=÷x (Tour Collection),Ed Sheeran
2025-11-15,27,I Barely Know Her,sombr
2025-11-15,28,Hamilton: 10 Shots (Highlights From The Original Broadway Cast Recording),Original Broadway Cast Recording
2025-11-15,29,$ome $exy $ongs 4 U,PARTYNEXTDOOR & Drake
2025-11-15,30,$ad Boyz 4 Life II,Junior H
2025-11-15,31,Un Verano Sin Ti,Bad Bunny
2025-11-15,32,GNX,Kendrick Lamar
2025-11-15,33,The Rise And Fall Of A Midwest Princess,Chappell Roan
2025-11-15,34,Son Of Spergy,Daniel Caesar
2025-11-15,35,The Tortured Poets Department,Taylor Swift
2025-11-15,36,The Last Wun,Gunna
2025-11-15,37,111XPANTIA,Fuerza Regida
2025-11-15,38,Tim Burton's The Nightmare Before Christmas,Soundtrack
2025-11-15,39,Diamonds,Elton John
2025-11-15,40,Curtain Call: The Hits,Eminem
2025-11-15,41,Swag,Justin Bieber
2025-11-15,42,MAYHEM,Lady Gaga
2025-11-15,43,Beautiful Chaos (EP),KATSEYE
2025-11-15,44,"Where I've Been, Isn't Where I'm Going",Shaboozey
2025-11-15,45,MUSIC,Playboi Carti
2025-11-15,46,Chronicle: The 20 Greatest Hits,Creedence Clearwater Revival
2025-11-15,47,Submarine,The Marias
2025-11-15,48,Folklore,Taylor Swift
2025-11-15,49,American Heartbreak,Zach Bryan
2025-11-15,50,I Hope You're Happy,BigXthaPlug
2025-11-15,51,The Best Of Nickelback: Volume 1,Nickelback
2025-11-15,52,Views,Drake
2025-11-15,53,The Secret Of Us,Gracie Abrams
2025-11-15,54,The Fame,Lady Gaga
2025-11-15,55,"good kid, m.A.A.d city",Kendrick Lamar
2025-11-15,56,Sour,Olivia Rodrigo
2025-11-15,57,For All The Dogs,Drake
2025-11-15,58,Good Girl Gone Bad,Rihanna
2025-11-15,59,Greatest Hits,Pitbull
2025-11-15,60,Greatest Hits,Queen
2025-11-15,61,Guts,Olivia Rodrigo
2025-11-15,62,Certified Lover Boy,Drake
2025-11-15,63,The Collection,OneRepublic
2025-11-15,64,Child Of God II,Forrest Frank
2025-11-15,65,Christmas,Michael Buble
2025-11-15,66,Don't Mind If I Do,Riley Green
2025-11-15,67,Currents,Tame Impala
2025-11-15,68,Eternal Sunshine,Ariana Grande
2025-11-15,69,Hamilton: An American Musical,Original Broadway Cast
2025-11-15,70,Hozier,Hozier
2025-11-15,71,Blonde,Frank Ocean
2025-11-15,72,I've Tried Everything But Therapy (Part I),Teddy Swims
2025-11-15,73,Fireworks & Rollerblades,Benson Boone
2025-11-15,74,Ctrl,SZA
2025-11-15,75,Lover,Taylor Swift
2025-11-15,76,Hurry Up Tomorrow,The Weeknd
2025-11-15,77,Just Getting Started,Kodak Black
2025-11-15,78,Graduation,Kanye West
2025-11-15,79,Take Care,BigXthaPlug
2025-11-15,80,reputation,Taylor Swift
2025-11-15,81,"Greatest Hits, Vol. I & II",Billy Joel
2025-11-15,82,Think Later,Tate McRae
2025-11-15,83,Starboy,The Weeknd
2025-11-15,84,Midnights,Taylor Swift
2025-11-15,85,A Charlie Brown Christmas (Soundtrack),Vince Guaraldi Trio
2025-11-15,86,Karma: The 4th Album,Stray Kids
2025-11-15,87,If I Know Me,Morgan Wallen
2025-11-15,88,Journey's Greatest Hits,Journey
2025-11-15,89,Hearts Sold Separately,Mariah the Scientist
2025-11-15,90,Nevermind,Nirvana
2025-11-15,91,[Hybrid Theory],Linkin Park
2025-11-15,92,After Hours,The Weeknd
2025-11-15,93,West End Girl,Lily Allen
2025-11-15,94,The Essential Michael Jackson,Michael Jackson
2025-11-15,95,Hungover,Ella Langley
2025-11-15,96,This One's For You,Luke Combs
2025-11-15,97,F-1 Trillion,Post Malone
2025-11-15,98,Zach Bryan,Zach Bryan
2025-11-15,99,My Turn,Lil Baby
2025-11-15,100,Meteora,Linkin Park
2025-11-15,101,Scorpion,Drake
2025-11-15,102,Brat,Charli xcx
2025-11-15,103,Traveller,Chris Stapleton
2025-11-15,104,50 Number Ones,George Strait
2025-11-15,105,Beauty Behind The Madness,The Weeknd
2025-11-15,106,I Never Liked You,Future
2025-11-15,107,Teenage Dream,Katy Perry
2025-11-15,108,DAMN.,Kendrick Lamar
2025-11-15,109,"When We All Fall Asleep, Where Do We Go?",Billie Eilish
2025-11-15,110,Channel Orange,Frank Ocean
2025-11-15,111,Thank Me Later,Drake
2025-11-15,112,Greatest Hits,Creed
2025-11-15,113,Merry Christmas,Mariah Carey
2025-11-15,114,AM,Arctic Monkeys
2025-11-15,115,T R A P S O U L,Bryson Tiller
2025-11-15,116,Doo-Wops & Hooligans,Bruno Mars
2025-11-15,117,Cold Beer & Country Music,Zach Top
2025-11-15,118,Greatest Hits,Fleetwood Mac
2025-11-15,119,Freudian,Daniel Caesar
2025-11-15,120,Own Worst Enemy,Gavin Adcock
2025-11-15,121,Born To Die,Lana Del Rey
2025-11-15,122,Greatest Hits,2Pac
2025-11-15,123,American Heart,Benson Boone
2025-11-15,124,ANTI,Rihanna
2025-11-15,125,The Best Of Sade,Sade
2025-11-15,126,Greatest Hits,Tom Petty And The Heartbreakers
2025-11-15,127,Greatest Hits,Guns N' Roses
2025-11-15,128,Goodbye & Good Riddance,Juice WRLD
